date,impressions,clicks,ctr,position
2026-05-20,0,0,0,0
2026-05-21,3,1,0.3333333333333333,1
2026-05-22,18,0,0,47.44444444444444
2026-05-23,53,1,0.018867924528301886,64.45283018867924
2026-05-24,61,6,0.09836065573770492,58.14754098360656
2026-05-25,60,5,0.08333333333333333,51.516666666666666
2026-05-26,53,1,0.018867924528301886,62.83018867924528
2026-05-27,159,1,0.006289308176100629,62.264150943396224
2026-05-28,59,1,0.01694915254237288,55.03389830508475
2026-05-29,72,0,0,58.81944444444444
2026-05-30,93,0,0,55.236559139784944
2026-05-31,131,2,0.015267175572519083,38.87786259541985
2026-06-01,152,1,0.006578947368421052,37.10526315789474
2026-06-02,231,1,0.004329004329004329,52.2034632034632
2026-06-03,110,0,0,47.10909090909091
2026-06-04,99,1,0.010101010101010102,57.323232323232325
2026-06-05,153,0,0,53.60130718954248
2026-06-06,173,0,0,62.51445086705202
2026-06-07,114,1,0.008771929824561403,61.29824561403509
2026-06-08,118,1,0.00847457627118644,53.13559322033898
2026-06-09,136,2,0.014705882352941176,49.80882352941177
2026-06-10,200,2,0.01,55.775
2026-06-11,155,3,0.01935483870967742,47.438709677419354
2026-06-12,203,1,0.0049261083743842365,52.891625615763544
2026-06-13,162,3,0.018518518518518517,56.123456790123456
2026-06-14,179,1,0.00558659217877095,49.899441340782126
2026-06-15,223,1,0.004484304932735426,44.29596412556054
2026-06-16,179,0,0,47.70391061452514
2026-06-17,365,3,0.00821917808219178,49.47397260273973
2026-06-18,168,3,0.017857142857142856,41.029761904761905
2026-06-19,147,1,0.006802721088435374,47.54421768707483
2026-06-20,129,1,0.007751937984496124,51.44186046511628
2026-06-21,137,0,0,48.21897810218978
2026-06-22,180,2,0.011111111111111112,38.35
2026-06-23,183,2,0.01092896174863388,43.66120218579235
2026-06-24,417,0,0,52.09592326139089
2026-06-25,200,3,0.015,37.13
2026-06-26,191,2,0.010471204188481676,37.92670157068063
2026-06-27,141,0,0,45.333333333333336
2026-06-28,338,2,0.005917159763313609,38.455621301775146
2026-06-29,262,6,0.022900763358778626,35.55343511450382
2026-06-30,220,3,0.013636363636363636,31.522727272727273
2026-07-01,310,1,0.0032258064516129032,44.8741935483871
2026-07-02,217,2,0.009216589861751152,32.12903225806451
2026-07-03,171,1,0.005847953216374269,35.01754385964912
2026-07-04,129,2,0.015503875968992248,43.49612403100775
2026-07-05,119,0,0,45.924369747899156
2026-07-06,171,2,0.011695906432748537,35.60233918128655
2026-07-07,234,3,0.01282051282051282,36.17094017094017
2026-07-08,209,1,0.004784688995215311,34.35885167464115
2026-07-09,215,0,0,26.153488372093022
2026-07-10,225,5,0.022222222222222223,27.782222222222224
2026-07-11,194,0,0,44.27835051546392
2026-07-12,195,0,0,34.312820512820515
2026-07-13,270,2,0.007407407407407408,26.562962962962963
2026-07-14,292,2,0.00684931506849315,27.575342465753426
2026-07-15,232,0,0,27.538793103448278
2026-07-16,240,3,0.0125,25.466666666666665
2026-07-17,225,3,0.013333333333333334,27.822222222222223
2026-07-18,167,1,0.005988023952095809,38.32934131736527
2026-07-19,163,1,0.006134969325153374,34.79141104294479
2026-07-20,310,6,0.01935483870967742,30.648387096774194
2026-07-21,285,3,0.010526315789473684,23.480701754385965
2026-07-22,306,3,0.00980392156862745,22.398692810457515
2026-07-23,277,6,0.021660649819494584,20.90974729241877
2026-07-24,198,2,0.010101010101010102,23.666666666666668
2026-07-25,159,4,0.025157232704402517,30.169811320754718
