query,impressions,clicks,ctr,position
cee alicante,3,1,0.3333333333333333,5.666666666666667
certificado energético,1,1,1,4
oviedo,1,1,1,2
100 m,1,0,0,6
63 metros,1,0,0,1
659/2025,16,0,0,8.1875
ahorro energetico edificios cuenca,1,0,0,43
ahorro energetico en cadiz,40,0,0,26.3
ahorro energetico en las empresas cadiz,2,0,0,16.5
ahorro energético en palencia,22,0,0,71.68181818181819
ahorro energético gipuzkoa,9,0,0,29.666666666666668
ahorro energético las palmas,6,0,0,68
ahorro energético pontevedra,31,0,0,67.25806451612904
ahorro energético salamanca,13,0,0,55
artículos energéticos tenerife,4,0,0,32
asesor energético jaén,2,0,0,92.5
asesoramiento en tarifas energéticas en cádiz,3,0,0,60.666666666666664
asesoramiento energetico en leon capital,1,0,0,89
asesoría energética en palencia,8,0,0,80.625
auditor energetico cadiz,12,0,0,84.83333333333333
auditor energético alicante,22,0,0,85.36363636363636
auditores energeticos cadiz,3,0,0,89.33333333333333
auditoria eficiencia energetica alicante,14,0,0,80.07142857142857
auditoria eficiencia energetica cadiz,24,0,0,89.5
auditoria eficiencia energetica edificios alicante,5,0,0,81.2
