email,despacho,provincia,nota
adm.glpcertificados@gmail.com,Glp Certificados,Barcelona,fb_nombre_dominio_glpcertificados.com
certificacionenerxetica@gmail.com,Ce Certificacion Enerxetica,Galicia,fb_nombre_dominio_certificacionenerxetica.es
certificados.ceemar@gmail.com,Ceemar Certificados Energeticos,Madrid,fb_nombre_dominio_ceemar.es
glpcertificados@gmail.com,Glp Certificados,Barcelona,fb_nombre_dominio_glpcertificados.com
hola@micertificadoenergetico.com,Mi Certificado Energetico,España,fb_despacho_dominio_micertificadoenergetico.com
info@certific.com,Certific Certificado Energetico,España,fb_nombre_dominio_certific.com
info@certific.es,Certific Certificado Energetico,España,fb_nombre_dominio_certific.es
info@edos.es,Edos Certificacion,Valencia,fb_nombre_dominio_edos.es
info@ghingenieros.es,Certiproject Certificaciones,España,fb_despacho_dominio_certiproject.com
info@yacrea.com,Yacrea Certificacion Energetica,España,fb_despacho_dominio_yacrea.com
infraestructuras@certia.es,Certia Certificados,España,fb_despacho_dominio_certia.es
