email,despacho,provincia,nota
colegio@aparejadoresalicante.org,aparejadoresalicante.es,alicante,patrones_fase2
info@coaat.es,aparejadoresmalaga.com,malaga,patrones_fase2
coaatz@coaatz.org,aparejadoreszaragoza.com,zaragoza,patrones_fase2
20info@aparejadornavarra.es,aparejadornavarra.es,navarra,patrones_fase2
info@aparejadornavarra.es,aparejadornavarra.es,navarra,patrones_fase2
info@aparejadortenerife.es,aparejadortenerife.es,tenerife,patrones_fase2
coacyle@coacyle.com,arquitectosvalladolid.com,valladolid,patrones_fase2
decanosecretario@cogitial.es,ingenierosalmeria.es,almeria,patrones_fase2
decanosecretario@coitial.es,ingenierosalmeria.es,almeria,patrones_fase2
info@cogitial.es,ingenierosalmeria.es,almeria,patrones_fase2
cogitibu@cogitibu.es,ingenierosburgos.com,burgos,patrones_fase2
