email,despacho,provincia,nota
administracion@coaatcr.es,COAAT Ciudad Real,Ciudad Real,enjambre_colegios
admon@coaatcaceres.es,COAAT Cáceres,Cáceres,enjambre_colegios
aparejadorescuenca@coaatcuenca.com,COAAT Cuenca,Cuenca,enjambre_colegios
buzon@coaatteruel.es,COAAT Teruel,Teruel,enjambre_colegios
coaatz@coaatz.org,aparejadoreszaragoza.com,zaragoza,enjambre_patrones
coacyle@coacyle.com,arquitectosvalladolid.com,valladolid,enjambre_patrones
cogitibu@cogitibu.es,ingenierosburgos.com,burgos,enjambre_patrones
comercial@musaat.es,COAAT Cáceres,Cáceres,enjambre_colegios
correo@coaatlugo.com,COAAT Lugo,Lugo,enjambre_colegios
decanosecretario@cogitial.es,ingenierosalmeria.es,almeria,enjambre_patrones
decanosecretario@coitial.es,ingenierosalmeria.es,almeria,enjambre_patrones
info@coaat.es,aparejadoresmalaga.com,malaga,enjambre_patrones
info@coaatteruel.es,COAAT Teruel,Teruel,enjambre_colegios
info@cogitial.es,ingenierosalmeria.es,almeria,enjambre_patrones
secretaria@coaathuesca.com,COAAT Huesca,Huesca,enjambre_colegios
info@coatpo.es,COAAT Pontevedra,Pontevedra,colegios_20260801
abogado@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
gestioneconomica@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
coaatba@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
pic@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
visados@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
secretariotecnico@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
gestioncolegial@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
informatico@coaatba.com,COAAT Badajoz,Badajoz,colegios_20260801
secretariatecnica@coatmenorca.com,COAAT Menorca,Baleares,colegios_20260801
rehabilitaciohabitatges@dgarquit.caib.es,COAAT Menorca,Baleares,colegios_20260801
administracio@coatmenorca.com,COAAT Menorca,Baleares,colegios_20260801
sercover@sercover.es,COAAT Toledo,Toledo,colegios_20260801
